id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
288211,2025-08-29T20:33:29.142129Z,12 ft 5 in.,,2018-12-30 10:28:52+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-79.78037,32.20996,0.1426471445871772,0.012320118581867628,26.32055701721035
288212,2025-08-29T20:40:20.395973Z,9 ft 2 in.,,2014-06-01 11:51:10+00:00,Sub-Adult,Tiger Shark (Galeocerdo cuvier),Male,-80.834000156,31.934851763,1.469680247577668,0.03420060910975919,22.340240613089883
288213,2025-08-29T20:32:14.512120Z,5 ft 5 in.,,2017-10-11 20:25:02+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-72.58917,40.79099,1.2968498224273917,0.06098956027235265,18.785488271464615
288217,2025-08-29T20:40:47.839143Z,6 ft 4 in.,,2020-04-11 01:51:37+00:00,Sub-Adult,Shortfin Mako Shark (Isurus oxyrinchus),Male,-96.55284,25.82747,0.4868533555187058,0.025592025237763365,25.600630229107118
288218,2025-08-29T20:38:54.094076Z,4 ft 5 in.,,2017-09-11 08:52:56+00:00,Juvenile,Tiger Shark (Galeocerdo cuvier),Female,-93.09572,29.27529,0.9111606639736177,0.048516080961411565,21.57638123794401
288219,2025-08-29T20:31:11.287935Z,9 ft,,2014-05-03 11:46:16+00:00,Sub-Adult,Blue Shark (Prionace glauca),Male,-83.08239,10.00592,1.717424341668559,0.035969328653473374,22.44122489672123
288224,2025-08-29T20:34:52.957181Z,11 ft 5 in.,,2018-11-21 22:57:24+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Male,-78.70771,28.08555,0.06305364519357681,0.006700038909912109,27.374486923217773
288228,2025-08-29T20:31:50.348620Z,12 ft 8 in.,,2014-09-25 11:01:45+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-74.47037,35.90723,0.6071965098381042,0.032000064849853516,27.214120864868164
288230,2025-08-29T20:38:24.195037Z,12 ft.,,2020-05-14 15:36:24+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-75.22155,35.54893,0.46957039696853453,0.025006163075101707,25.78725439799851
288231,2025-08-29T20:33:30.454128Z,12 ft 8 in.,,2017-03-23 23:34:21+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-77.2652,33.9634,0.13692870112589478,0.00833705926282411,23.751627777572672
288233,2025-08-29T20:33:35.266265Z,11 ft 1 in.,,2016-12-27 11:01:16+00:00,Adult,Blue Shark (Prionace glauca),Male,-70.47552,31.28815,0.14734061062335968,0.006200075149536133,21.821374893188477
288234,2025-08-29T20:34:14.516932Z,7 ft 10 in.,,2018-04-15 23:15:42+00:00,Adult,Blue Shark (Prionace glauca),Male,-71.00201,35.65912,0.1374872773885727,0.009299993515014648,20.709985733032227
288237,2025-08-29T20:33:06.547526Z,5 ft 2 in.,,2019-05-22 00:28:29+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-83.51076,25.61974,0.23483787955948174,0.017347122316577736,25.57747394731926
288238,2025-08-29T20:35:56.104158Z,7 ft 8 in.,,2016-07-18 08:09:33+00:00,Juvenile,Tiger Shark (Galeocerdo cuvier),Female,-77.37162,34.38893,0.28091301850069633,0.021278167806375994,25.109597256373476
288239,2025-08-29T20:37:59.952252Z,10 ft 6 in.,,2016-01-17 17:10:15+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Male,-92.25591,28.94744,0.2642245515594704,0.020013362281981906,24.29683179531852
288243,2025-08-29T20:32:36.705036Z,6 ft 75 in.,,2015-09-11 10:04:49+00:00,Juvenile,Hammerhead Shark (Sphyrnidae),Male,-72.21113,40.90197,0.3665465122766116,0.028063201907182304,20.480030639254238
288244,2025-08-29T20:31:53.372080Z,9 ft 8 in.,,2014-09-23 02:13:43+00:00,Adult,Blue Shark (Prionace glauca),Male,-61.51601,38.734,0.20662043988704681,0.008300065994262695,26.966712951660156
288245,2025-08-29T20:40:04.251183Z,14 ft 8 in.,,2015-05-29 05:53:33+00:00,Adult,White Shark (Carcharodon carcharias),Female,-73.76618,33.24771,0.0844576433300972,0.00690007209777832,23.77629852294922
